"id","description","discount","gender","link","name","price","rating","sku"
"2","Brings to you a Comfortable Blazer which has been designed keeping the latest trends in mind","25","Male","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-2-1.jpg""},{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-2-2.jpg""},{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-2-3.jpg""}]","Men's Slim Fit Casual and Formal Blazer","6000","4.2","2"
"8","Dream Beauty Fashion Women's Casual Top Full Sleeve","20","Female","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-1-1.jpeg""},{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-1-2.jpg""}]","Casual Top Bright","5000","4.0","1"
"9","""White and grey striped a-line dress V-neck Short, extended sleevesMaxi length in flared hem""","2","Female","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-9-1.PNG""},{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-9-2.PNG""}]","A-Line Maxi Dress","3000","3.9","9"
"1","""Solid Peter pan collar, short, regular sleeves Woven linenWomen Peter Pan Linen Top""","9","Female","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-8-1.PNG""},{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-8-2.PNG""}]","Women Peter Collar Linen Top","5000","4.8","8"
"6","""Black regular peplum top Solid solid neck, short, puff sleeves Knitted""","7","Female","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-6-1.PNG""}]","Women Black Solid Smocking Peplum Topt","15000","4.1","6"
"5","Faux Leather Jacket is a fashion choice you can wear on any occasion; Wash Care: Dry clean only","10","Female","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-5-1.jpg""},{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-5-2.jpg""}]","Leather Long Jacket for Woman","12000","4.7","5"
"4","The fabric is a little thicker than most summer wear.the material is not silk but is quality fabric.","4","Female","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-4-1.jpg""},{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-4-2.jpg""}]","Women's Puff Sleeve Casual Solid","8000","4.4","4"
"7","""Melange solid T-shirt, has a round neck, short sleeves""","9","Male","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-7-1.PNG""},{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-7-2.PNG""}]","Men Melange Longline T-shirt with Raw Edges","4000","4.6","7"
"11","""Workout any time, any where with the HRX Men's Training Jacket. Engineered with sweat wicking technology, it won't just keep you feeling comfortable while you workout, it'll make sure you look good too.""","5","Male","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-11-1.PNG""},{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-11-2.PNG""}]","Men Navy Blue Solid Training Rapid Dry Hooded Jacket","20000","4.8","11"
"3","This smart Casual shirt is perfect for all casual occasions. This pure cotton shirt features a chest pocket and a crisp cut-away collar.","15","Male","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-3-1.jpeg""}]","Slim fit Casual Shirt","4500","4.2","3"
"10","""Calf-length dress in softly draping satin. V-neck and a wrapover front with wide ties at one side and narrow, concealed ties at the other. Gently dropped shoulders and long sleeves.""","3","Female","[{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/prodcut-10-1.PNG""},{""S"":""https://orionstorage.s3.ap-south-1.amazonaws.com/product/product-10-2.PNG""}]","Woman Wrap Dress","4500","4.3","10"
